xflr5 v6.57

 Calculated polar for: NASA SC(2)-0614 AIRFOIL

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =    12.900 e 6     Ncrit =   0.000

  alpha     CL        CD       CDp       Cm    Top Xtr Bot Xtr   Cpmin    Chinge    XCp    
 ------- -------- --------- --------- -------- ------- ------- -------- --------- ---------
   0.000   0.4676   0.00834   0.00223  -0.1141  0.0000  0.0021  -0.9918   0.0000   0.0000   0.0000   0.4923
   0.500   0.5280   0.00843   0.00232  -0.1149  0.0000  0.0021  -1.1426   0.0000   0.0000   0.0000   0.4653
   1.000   0.5881   0.00854   0.00242  -0.1156  0.0000  0.0021  -1.2983   0.0000   0.0000   0.0000   0.4438
   1.500   0.6479   0.00867   0.00255  -0.1163  0.0021  0.0052  -1.4657   0.0000   0.0000   0.0000   0.4261
   2.000   0.7074   0.00882   0.00270  -0.1169  0.0021  0.0052  -1.6722   0.0000   0.0000   0.0000   0.4113
   2.500   0.7666   0.00899   0.00287  -0.1174  0.0021  0.0052  -1.9237   0.0000   0.0000   0.0000   0.3988
   3.500   0.8839   0.00939   0.00327  -0.1182  0.0052  0.0102  -2.4566   0.0000   0.0000   0.0000   0.3784
   4.000   0.9421   0.00962   0.00349  -0.1184  0.0052  0.0102  -2.7379   0.0000   0.0000   0.0000   0.3699
   4.500   0.9998   0.00987   0.00375  -0.1186  0.0052  0.0102  -3.0286   0.0000   0.0000   0.0000   0.3624
   5.500   1.1138   0.01046   0.00436  -0.1187  0.0102  0.0203  -3.6366   0.0000   0.0000   0.0000   0.3492
   6.000   1.1701   0.01079   0.00469  -0.1186  0.0102  0.0203  -3.9532   0.0000   0.0000   0.0000   0.3435
   6.500   1.2259   0.01115   0.00505  -0.1184  0.0102  0.0203  -4.2783   0.0000   0.0000   0.0000   0.3381
   7.000   1.2811   0.01153   0.00545  -0.1181  0.0102  0.0203  -4.6116   0.0000   0.0000   0.0000   0.3331
   7.500   1.3356   0.01195   0.00587  -0.1177  0.0102  0.0203  -4.9524   0.0000   0.0000   0.0000   0.3284
   8.000   1.3895   0.01239   0.00635  -0.1172  0.0203  0.0304  -5.3008   0.0000   0.0000   0.0000   0.3240
   8.500   1.4426   0.01287   0.00684  -0.1165  0.0203  0.0304  -5.6555   0.0000   0.0000   0.0000   0.3197
   9.000   1.4949   0.01339   0.00738  -0.1157  0.0203  0.0304  -6.0161   0.0000   0.0000   0.0000   0.3156
   9.500   1.5463   0.01394   0.00796  -0.1147  0.0203  0.0304  -6.3821   0.0000   0.0000   0.0000   0.3117
  10.000   1.5966   0.01453   0.00859  -0.1135  0.0304  0.0404  -6.7823   0.0000   0.0000   0.0000   0.3079
  10.500   1.6458   0.01517   0.00925  -0.1122  0.0304  0.0404  -7.2089   0.0000   0.0000   0.0000   0.3042
  11.000   1.6937   0.01585   0.00997  -0.1106  0.0304  0.0404  -7.6406   0.0000   0.0000   0.0000   0.3006
  11.500   1.7401   0.01658   0.01074  -0.1088  0.0304  0.0404  -8.0756   0.0000   0.0000   0.0000   0.2970
  12.000   1.7846   0.01737   0.01157  -0.1067  0.0404  0.0504  -8.5122   0.0000   0.0000   0.0000   0.2934
  12.500   1.8271   0.01821   0.01246  -0.1043  0.0404  0.0504  -8.9475   0.0000   0.0000   0.0000   0.2898
  13.000   1.8668   0.01912   0.01342  -0.1014  0.0404  0.0504  -9.3796   0.0000   0.0000   0.0000   0.2862
  13.500   1.9012   0.02009   0.01445  -0.0976  0.0504  0.0605  -9.7947   0.0000   0.0000   0.0000   0.2823
  14.000   1.9298   0.02115   0.01557  -0.0927  0.0504  0.0605  -10.1884   0.0000   0.0000   0.0000   0.2782
  14.500   1.9467   0.02237   0.01687  -0.0859  0.0504  0.0605  -10.5310   0.0000   0.0000   0.0000   0.2734
  15.000   1.9684   0.02383   0.01840  -0.0806  0.0605  0.0705  -10.8999   0.0000   0.0000   0.0000   0.2692
  15.500   1.9880   0.02551   0.02017  -0.0753  0.0605  0.0705  -11.2615   0.0000   0.0000   0.0000   0.2652
  16.000   2.0050   0.02746   0.02220  -0.0702  0.0605  0.0705  -11.6124   0.0000   0.0000   0.0000   0.2614
  16.500   2.0189   0.02974   0.02458  -0.0652  0.0605  0.0705  -11.9483   0.0000   0.0000   0.0000   0.2576
  17.000   2.0293   0.03242   0.02736  -0.0604  0.0705  0.0805  -12.2666   0.0000   0.0000   0.0000   0.2540
  17.500   2.0359   0.03560   0.03064  -0.0559  0.0705  0.0805  -12.5630   0.0000   0.0000   0.0000   0.2506
  18.000   2.0381   0.03938   0.03454  -0.0519  0.0705  0.0805  -12.8330   0.0000   0.0000   0.0000   0.2475
  18.500   2.0353   0.04393   0.03921  -0.0484  0.0705  0.0805  -13.0703   0.0000   0.0000   0.0000   0.2446
  19.000   2.0275   0.04946   0.04488  -0.0459  0.0805  0.0905  -13.2708   0.0000   0.0000   0.0000   0.2422
  19.500   2.0139   0.05628   0.05184  -0.0446  0.0805  0.0905  -13.4253   0.0000   0.0000   0.0000   0.2404
  20.000   1.9915   0.06495   0.06067  -0.0450  0.0805  0.0905  -13.5094   0.0000   0.0000   0.0000   0.2394
  20.500   1.9568   0.07638   0.07228  -0.0479  0.0805  0.0905  -13.4856   0.0000   0.0000   0.0000   0.2398
  21.000   1.9014   0.09237   0.08850  -0.0548  0.0805  0.0905  -13.2718   0.0000   0.0000   0.0000   0.2426
  21.500   1.8019   0.11759   0.11405  -0.0695  0.0805  0.0905  -12.6222   0.0000   0.0000   0.0000   0.2506


